Date : 2025-05-14 10:00:08
Directory : d:\Mg\odzyskajmy-web
Total : 98 files,  14922 codes, 337 comments, 897 blanks, all 16156 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Mg\odzyskajmy-web\src\components\ui\badge.tsx             | TypeScript JSX     |         31 |          0 |          6 |         37 |
| d:\Mg\odzyskajmy-web\src\components\ui\breadcrumb.tsx        | TypeScript JSX     |        105 |          0 |         11 |        116 |
| d:\Mg\odzyskajmy-web\src\components\ui\button.tsx            | TypeScript JSX     |         51 |          0 |          7 |         58 |
| d:\Mg\odzyskajmy-web\src\components\ui\calendar.tsx          | TypeScript JSX     |         60 |          0 |          5 |         65 |
| d:\Mg\odzyskajmy-web\src\components\ui\card.tsx              | TypeScript JSX     |         71 |          0 |          9 |         80 |
| d:\Mg\odzyskajmy-web\src\components\ui\carousel.tsx          | TypeScript JSX     |        231 |          0 |         30 |        261 |
| d:\Mg\odzyskajmy-web\src\components\ui\chart.tsx             | TypeScript JSX     |        326 |          2 |         36 |        364 |
| d:\Mg\odzyskajmy-web\src\components\ui\checkbox.tsx          | TypeScript JSX     |         25 |          0 |          4 |         29 |
| d:\Mg\odzyskajmy-web\src\components\ui\collapsible.tsx       | TypeScript JSX     |          5 |          0 |          5 |         10 |
| d:\Mg\odzyskajmy-web\src\components\ui\command.tsx           | TypeScript JSX     |        136 |          0 |         18 |        154 |
| d:\Mg\odzyskajmy-web\src\components\ui\context-menu.tsx      | TypeScript JSX     |        181 |          0 |         18 |        199 |
| d:\Mg\odzyskajmy-web\src\components\ui\dialog.tsx            | TypeScript JSX     |        108 |          0 |         13 |        121 |
| d:\Mg\odzyskajmy-web\src\components\ui\drawer.tsx            | TypeScript JSX     |        104 |          0 |         13 |        117 |
| d:\Mg\odzyskajmy-web\src\components\ui\dropdown-menu.tsx     | TypeScript JSX     |        181 |          0 |         18 |        199 |
| d:\Mg\odzyskajmy-web\src\components\ui\form.tsx              | TypeScript JSX     |        152 |          0 |         25 |        177 |
| d:\Mg\odzyskajmy-web\src\components\ui\hover-card.tsx        | TypeScript JSX     |         22 |          0 |          6 |         28 |
| d:\Mg\odzyskajmy-web\src\components\ui\input-otp.tsx         | TypeScript JSX     |         62 |          0 |          8 |         70 |
| d:\Mg\odzyskajmy-web\src\components\ui\input.tsx             | TypeScript JSX     |         19 |          0 |          4 |         23 |
| d:\Mg\odzyskajmy-web\src\components\ui\label.tsx             | TypeScript JSX     |         20 |          0 |          5 |         25 |
| d:\Mg\odzyskajmy-web\src\components\ui\menubar.tsx           | TypeScript JSX     |        216 |          0 |         19 |        235 |
| d:\Mg\odzyskajmy-web\src\components\ui\navigation-menu.tsx   | TypeScript JSX     |        117 |          0 |         12 |        129 |
| d:\Mg\odzyskajmy-web\src\components\ui\pagination.tsx        | TypeScript JSX     |        107 |          0 |         11 |        118 |
| d:\Mg\odzyskajmy-web\src\components\ui\popover.tsx           | TypeScript JSX     |         24 |          0 |          6 |         30 |
| d:\Mg\odzyskajmy-web\src\components\ui\progress.tsx          | TypeScript JSX     |         23 |          0 |          4 |         27 |
| d:\Mg\odzyskajmy-web\src\components\ui\radio-group.tsx       | TypeScript JSX     |         38 |          0 |          5 |         43 |
| d:\Mg\odzyskajmy-web\src\components\ui\resizable.tsx         | TypeScript JSX     |         38 |          0 |          6 |         44 |
| d:\Mg\odzyskajmy-web\src\components\ui\scroll-area.tsx       | TypeScript JSX     |         42 |          0 |          5 |         47 |
